タイプ,SKU,公開済み,カタログでの表示,種別,簡単な説明,型番,説明,,金額,税状況,在庫の有無,在庫,カスタマーレビューを許可しますか ?,カテゴリー,ボタンのテキスト,位置,メタ: rnb_settings_for_display,メタ: rnb_settings_for_labels,メタ: rnb_settings_for_conditions,メタ: rnb_settings_for_validations,メタ: redq_calendar_date_format,メタ: redq_calendar_time_format,メタ: redq_choose_european_date_format,メタ: redq_max_time_late,メタ: rnb_pay_extra_hours,メタ: redq_max_rental_days,メタ: redq_min_rental_days,メタ: redq_rental_starting_block_dates,メタ: redq_rental_before_booking_block_dates,メタ: redq_rental_post_booking_block_dates,メタ: redq_time_interval,メタ: rnb_show_price_type,メタ: redq_allowed_times,メタ: rnb_booking_layout,メタ: redq_rental_local_enable_single_day_time_based_booking,メタ: redq_rental_local_quantity_on_days,メタ: rnb_inventory_title,メタ: redq_flip_pricing_plan_text,メタ: rnb_unit_price,メタ: redq_pickup_location_heading_title,メタ: redq_pickup_loc_placeholder,メタ: redq_dropoff_location_heading_title,メタ: redq_return_loc_placeholder,メタ: redq_pickup_date_heading_title,メタ: redq_pickup_date_placeholder,メタ: redq_pickup_time_placeholder,メタ: redq_dropoff_date_heading_title,メタ: redq_dropoff_date_placeholder,メタ: redq_dropoff_time_placeholder,メタ: rnb_quantity_label,メタ: redq_rnb_cat_heading,メタ: redq_resources_heading_title,メタ: redq_adults_heading_title,メタ: redq_adults_placeholder,メタ: redq_childs_heading_title,メタ: redq_childs_placeholder,メタ: redq_discount_text_title,メタ: redq_total_cost_text_title,メタ: rnb_invalid_date_range_notice,メタ: rnb_max_day_notice,メタ: rnb_min_day_notice,メタ: rnb_quantity_notice,メタ: redq_book_now_button_text,メタ: redq_rfq_button_text,メタ: redq_username_title,メタ: redq_username_placeholder,メタ: redq_password_title,メタ: redq_password_placeholder,メタ: redq_first_name_title,メタ: redq_first_name_placeholder,メタ: redq_last_name_title,メタ: redq_last_name_placeholder,メタ: redq_phone_title,メタ: redq_phone_placeholder,メタ: redq_email_title,メタ: redq_email_placeholder,メタ: redq_message_title,メタ: redq_message_placeholder,メタ: redq_submit_button_text,メタ: redq_security_deposite_heading_title,メタ: redq_rental_local_show_pickup_date,メタ: redq_rental_local_show_pickup_time,メタ: redq_rental_local_show_dropoff_date,メタ: redq_rental_local_show_dropoff_time,メタ: rnb_enable_quantity,メタ: redq_rental_local_show_pricing_flip_box,メタ: redq_rental_local_show_price_discount_on_days,メタ: redq_rental_local_show_price_instance_payment,メタ: redq_rental_local_show_request_quote,メタ: redq_rental_local_show_book_now,メタ: redq_rental_local_required_pickup_location,メタ: redq_rental_local_required_return_location,メタ: redq_rental_local_required_person,メタ: redq_rental_required_local_pickup_time,メタ: redq_rental_required_local_return_time,メタ: redq_rental_fri_min_time,メタ: redq_rental_fri_max_time,メタ: redq_rental_sat_min_time,メタ: redq_rental_sat_max_time,メタ: redq_rental_sun_min_time,メタ: redq_rental_sun_max_time,メタ: redq_rental_mon_min_time,メタ: redq_rental_mon_max_time,メタ: redq_rental_thu_min_time,メタ: redq_rental_thu_max_time,メタ: redq_rental_wed_min_time,メタ: redq_rental_wed_max_time,メタ: redq_rental_thur_min_time,メタ: redq_rental_thur_max_time,メタ: _wp_old_date
redq_rental,301,1,visible,Mixer,YAMAHA,TF-1,Danteカード入り /16in+2ST/16out,,20000,taxable,1,10000,1,音響関連 > Mixer,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,no,,,,,,,daily,,layout_one,open,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,closed,open,closed,open,closed,closed,closed,closed,open,closed,closed,closed,closed,closed,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,2020/12/15
redq_rental,302,1,visible,Mixer,YAMAHA,MG06,2MIC/2LINE in/1ST out,,1500,taxable,1,10000,1,音響関連 > Mixer,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,303,1,visible,Mixer,YAMAHA,MG06X,2MIC/2 ST LINE in/1ST out FX付き,,2000,taxable,1,10000,1,音響関連 > Mixer,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,304,1,visible,Mixer,YAMAHA,MG12XU,最大6 Mic/（4 mono+4ST）/2GRP＋1ST out/2 AUX （FX含む）,,4000,taxable,1,10000,1,音響関連 > Mixer,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,305,1,visible,Stage Box,YAMAHA,Tio1608,16in/8out,,10000,taxable,1,10000,1,音響関連 > Mixer,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,306,0,visible,Speaker,L-Acoustics,12XT,"12""+3"" 同軸スピーカー/90°/300w/133db/8Ω",,,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,307,0,visible,Speaker,L-Acoustics,SB118,"18""/600w/135db/8Ω",,,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,308,0,visible,Speaker,JBL,JRX112M,"12""+1""/90°x50°/250w/129db/8Ω 他営業所にも所有あり",,,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,309,1,visible,Speaker,NEXO,PS8,"8""+1""/水平50°-100°× 垂直 55°回転可能ホーン/125db",,8000,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,310,1,visible,Speaker,Electro-Voice,ZX1-90B,"8""+1""/90°x50°/200w/123db/8Ω",,4000,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,311,1,visible,Speaker,YAMAHA,MS101 III,"10cm/10w/MICx1(TS)/LINEx2(RCA,TS) in",,1000,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,312,0,visible,Speaker,YAMAHA,MS101 II,"10cm/10w/MICx1(TS)/LINEx2(RCA,TS) in",,,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,313,0,visible,Speaker,YAMAHA,MS101 I,"10cm/10w/MICx1(TS)/LINEx2(RCA,TS) in",,,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,314,1,visible,Speaker,Bose,101MM,11.5cm/130°/45w/86db/6Ω他営業所にも所有あり,,2000,taxable,1,10000,1,音響関連 > Speaker,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,315,1,visible,Power amp,Roland,SRA-5050,2chアンプ　　消費電力29W  出力35W×2（8Ω負荷、1kHz）,,2500,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,316,0,visible,Power amp,L-Acoustics,LA4,"2in,4out/ 消費電力1600W 出力4x800W(8Ω)",,,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,317,1,visible,Power amp,QSC,PLD4.3,4chアンプ　　消費電力560W  出力4x625W(8Ω),,10000,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,318,1,visible,Power amp,YAMAHA,HC2700,2chアンプ　　消費電力270W  出力2x270W(8Ω),,8000,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,319,1,visible,Power amp,Bose,MODEL1705,Bose101用　消費電力50W　  出力2x20W(4Ω),,2500,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,320,1,visible,Power amp,Bose,MODEL2705MX,Bose101用　消費電力100W　出力2x50W(4Ω),,3000,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,321,1,visible,Power amp,Bose,MODEL1200VI,Bose101用　消費電力130W　出力4x30W(8Ω),,4000,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,322,1,visible,Controller,NEXO,PS8 TD Controller-V1,PS8 TS400用コントローラー,,5000,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,323,0,visible,Controller,NEXO,PS8 TD Controller-V2,PS8 TS400用コントローラー,,,taxable,1,10000,1,音響関連 > Power amp,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,324,0,visible,Speaker Stand,K&M,21339,"ディスタンスロッド/全長：940-1,505mm",,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,325,1,visible,Speaker Stand,K&M,21450B,スピーカースタンド　他営業所にも所有あり,,500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,326,1,visible,Attachment,Electro-Voice,吊り金具,ZX-1用吊り金具　オリジナルカスタム,,500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,327,1,visible,Attachment,Bose,GMA-3,101用パンスタンド 他営業所にも所有あり,,1000,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,328,0,visible,Attachment,YAMAHA,BMS10A+ダボ,101用マイクスタンド金具 他営業所にも所有あり,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,329,0,visible,Attachment,YAMAHA,BMS10A,101用マイクスタンド金具 他営業所にも所有あり,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,330,0,visible,Attachment,Bose,旧純正,101用マイクスタンド金具,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,331,0,visible,Attachment,Bose,旧純正1,101用天井吊り金具,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,332,0,visible,Attachment,Bose,旧純正2,101用天井吊り金具,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,333,0,visible,Attachment,,SWBーACEー101,101用天井吊り金具,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
