タイプ,SKU,公開済み,カタログでの表示,種別,簡単な説明,型番,説明,,金額,税状況,在庫の有無,在庫,カスタマーレビューを許可しますか ?,カテゴリー,ボタンのテキスト,位置,メタ: rnb_settings_for_display,メタ: rnb_settings_for_labels,メタ: rnb_settings_for_conditions,メタ: rnb_settings_for_validations,メタ: redq_calendar_date_format,メタ: redq_calendar_time_format,メタ: redq_choose_european_date_format,メタ: redq_max_time_late,メタ: rnb_pay_extra_hours,メタ: redq_max_rental_days,メタ: redq_min_rental_days,メタ: redq_rental_starting_block_dates,メタ: redq_rental_before_booking_block_dates,メタ: redq_rental_post_booking_block_dates,メタ: redq_time_interval,メタ: rnb_show_price_type,メタ: redq_allowed_times,メタ: rnb_booking_layout,メタ: redq_rental_local_enable_single_day_time_based_booking,メタ: redq_rental_local_quantity_on_days,メタ: rnb_inventory_title,メタ: redq_flip_pricing_plan_text,メタ: rnb_unit_price,メタ: redq_pickup_location_heading_title,メタ: redq_pickup_loc_placeholder,メタ: redq_dropoff_location_heading_title,メタ: redq_return_loc_placeholder,メタ: redq_pickup_date_heading_title,メタ: redq_pickup_date_placeholder,メタ: redq_pickup_time_placeholder,メタ: redq_dropoff_date_heading_title,メタ: redq_dropoff_date_placeholder,メタ: redq_dropoff_time_placeholder,メタ: rnb_quantity_label,メタ: redq_rnb_cat_heading,メタ: redq_resources_heading_title,メタ: redq_adults_heading_title,メタ: redq_adults_placeholder,メタ: redq_childs_heading_title,メタ: redq_childs_placeholder,メタ: redq_discount_text_title,メタ: redq_total_cost_text_title,メタ: rnb_invalid_date_range_notice,メタ: rnb_max_day_notice,メタ: rnb_min_day_notice,メタ: rnb_quantity_notice,メタ: redq_book_now_button_text,メタ: redq_rfq_button_text,メタ: redq_username_title,メタ: redq_username_placeholder,メタ: redq_password_title,メタ: redq_password_placeholder,メタ: redq_first_name_title,メタ: redq_first_name_placeholder,メタ: redq_last_name_title,メタ: redq_last_name_placeholder,メタ: redq_phone_title,メタ: redq_phone_placeholder,メタ: redq_email_title,メタ: redq_email_placeholder,メタ: redq_message_title,メタ: redq_message_placeholder,メタ: redq_submit_button_text,メタ: redq_security_deposite_heading_title,メタ: redq_rental_local_show_pickup_date,メタ: redq_rental_local_show_pickup_time,メタ: redq_rental_local_show_dropoff_date,メタ: redq_rental_local_show_dropoff_time,メタ: rnb_enable_quantity,メタ: redq_rental_local_show_pricing_flip_box,メタ: redq_rental_local_show_price_discount_on_days,メタ: redq_rental_local_show_price_instance_payment,メタ: redq_rental_local_show_request_quote,メタ: redq_rental_local_show_book_now,メタ: redq_rental_local_required_pickup_location,メタ: redq_rental_local_required_return_location,メタ: redq_rental_local_required_person,メタ: redq_rental_required_local_pickup_time,メタ: redq_rental_required_local_return_time,メタ: redq_rental_fri_min_time,メタ: redq_rental_fri_max_time,メタ: redq_rental_sat_min_time,メタ: redq_rental_sat_max_time,メタ: redq_rental_sun_min_time,メタ: redq_rental_sun_max_time,メタ: redq_rental_mon_min_time,メタ: redq_rental_mon_max_time,メタ: redq_rental_thu_min_time,メタ: redq_rental_thu_max_time,メタ: redq_rental_wed_min_time,メタ: redq_rental_wed_max_time,メタ: redq_rental_thur_min_time,メタ: redq_rental_thur_max_time,メタ: _wp_old_date
redq_rental,334,1,visible,WL,Shure,ULXD4D-Z16,デュアルチャンネル受信機,,10000,taxable,1,10000,1,音響関連 > Wireless,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,335,1,visible,WL,Shure,UA844+Z16-J,アンテナ分配器,,5000,taxable,1,10000,1,音響関連 > Wireless,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,336,1,visible,WL,Shure,UA834Z16,アンテナブースター　2個セット,,2000,taxable,1,10000,1,音響関連 > Wireless,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,337,1,visible,WL,Shure,ULXD1-Z16,ボディパック送信機,,5000,taxable,1,10000,1,音響関連 > Wireless,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,338,1,visible,WL,Shure,ULXD2/SM58-Z16,ハンドヘルド送信機/SM-58仕様,,5000,taxable,1,10000,1,音響関連 > Wireless,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,339,0,visible,WL用 H/S,DPA,FID88-F00-M2,ベージュ　１００mmブーム 単一指向性,,,taxable,1,10000,1,"音響関連 > Wireless , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,340,1,visible,WL用 H/S,DPA,D:fine 4288-DC-F-F00-MH,ベージュ　１００mmブーム 単一指向性,,3500,taxable,1,10000,1,"音響関連 > Wireless , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,341,1,visible,WL用 H/S,Shure,SM35-TQG,黒 パフォーマンス用マイク　単一指向性,,1000,taxable,1,10000,1,"音響関連 > Wireless , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,343,1,visible,Mic ,SHUER,SM58s,他営業所にも所有あり,,1000,taxable,1,10000,1,音響関連 > Mic,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,344,1,visible,Mic Stand,K&M,ST210,黒,,1000,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,345,0,visible,Mic Stand,TAMA,ブームスタンド,シルバー 他営業所にも所有あり,,,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,346,1,visible,Mic Stand,K&M,26010B,丸スタンド 黒,,1000,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,347,0,visible,Mic Stand,ミニスタンド,ミニスタンド,,,,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,348,1,visible,Mic Stand,KC,MDS-3/BK,黒　卓上スタンド,,500,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,349,0,visible,Attachment,K&M,23550,マイク2本取付金具,,,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,350,0,visible,Other,マイク置きスポンジ,マイク置きスポンジ,250x130mm,,,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,351,1,visible,Other,マイク置きスポンジ,マイク置きスポンジ,300x110mm,,100,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,352,1,visible,Deck,TASCAM,CD-500,他営業所にも所有あり,,4000,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,353,1,visible,Splitter,BEHRINGER ,ZMX2600,音声分配器 2ステレオIN 6ステレオOUT（モノ切替有り）,,2500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,354,1,visible,Converter,IMAGENICS,UBC-160,UnBalanced to Balanced　RCA4入力　XLRメス4出力,,2500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,355,0,visible,Converter,IMAGENICS,UBC-150,UnBalanced to Balanced　RCA4入力　XLRメス4出力,,2500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,356,1,visible,Converter,TASCOM,LA40 MKⅡ,"Balanced,UnBalanced converter　RCA 4入力　RCA4出力",,3000,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,357,1,visible,Converter,IMEGENICS,BUC-160,Balanced to UnBalanced　  XLRオス4入力　RCA4-2分配出力,,2500,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,358,1,visible,DI,Radial,PRO AV2,フォーン/RCA/3.5mmTRS入力 XLR出力,,2000,taxable,1,10000,1,"音響関連 > 周辺機器 , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,359,1,visible,Dante AVIO ,AUDINATE,ADP-USB-AU-2X2,USB-Dante 2in/2out,,1200,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,360,1,visible,A/io,behringer ,UCA202,シルバー　USB-RCA2入力 RCA2出力,,500,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,361,1,visible,A/io,behringer ,UCA222,赤　USB-RCA2入力 RCA2出力,,500,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,362,1,visible,A/io,behringer ,UFO202,USB-RCA/Phono切り替え2入力 RCA2出力,,500,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,363,1,visible,A/io,FOCUSRITE,Scarlett 4i4,4入力4出力  Type-C,,2500,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,364,1,visible,A/io,Roland,Rubix22,2in 2out,,2000,taxable,1,10000,1,"音響関連 > 周辺機器 , Audhio i/o",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,365,1,visible,Headphone amp,MACKIE,HM-4,標準ステレオ　1入力4出力　各chボリュームつまみ有り,,300,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,366,0,visible,Headphone amp,behringer ,POWERPLAY P1,バッテリー駆動　XLR×2(LR)入力 3.5mmTRS出力,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,367,1,visible,CLEAR-COM,CLEAR-COM,MS702,CLEAR-COM　2ch CC-100とセットです,,11000,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,368,0,visible,CLEAR-COM,CLEAR-COM,RS-602,2ch 子機 CC-100とセットです,,,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,369,1,visible,CLEAR-COM,CLEAR-COM,RS-701,1ch 子機 CC-100とセットです/CC-32希望はプラス200円,,3000,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,370,1,visible,CLEAR-COM,CLEAR-COM,RS-702,2ch 子機 CC-100とセットです/CC-32希望はプラス200円,,4000,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,371,1,visible,CLEAR-COM,CLEAR-COM,CC-100,片耳ヘッドセット,,500,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,372,1,visible,CLEAR-COM,CLEAR-COM,CC-32, イヤフォン付きネックセット,,700,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,373,1,visible,CLEAR-COM,響楽オリジナル,CLEAR-COM変換,CLEAR-COM IN / LineOUT(-10dB),,1000,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,374,1,visible,,響楽オリジナル,nof-Four,,,500,taxable,1,10000,1,音響関連 > CLEAR-CAM,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,375,1,visible,ファンタム,audio-technica,AT8546a-5P,,,3000,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,376,1,visible,コンデンサーマイク,グースネック,,,,3000,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,377,0,visible,コンデンサーマイク,グースネック様ベース,,,,,taxable,1,10000,1,"音響関連 > Mic , 周辺機器",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,378,1,visible,ヘッドセットマイク,Sennheiser,HMD 300-XQ-2,,,4000,taxable,1,10000,1,音響関連 > Mic,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,379,0,visible,Headphone,SONY,MDR-CD380,,,,taxable,1,10000,1,音響関連 > 周辺機器,予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,380,0,visible,スタンド袋,,,空き,,,taxable,1,10000,1,"音響関連 > 周辺機器 , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redq_rental,381,0,visible,Mic Stand,,ブームスタンド,黒 他営業所にも所有あり,,,taxable,1,10000,1,"音響関連 > 周辺機器 , Mic",予約する,0,global,global,global,global,Y/m/d,24-hours,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,